mission_rate,arm,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,f12_Z,safety_violations,charge_sessions
0.5,distributed,B3_no_reservation,2,15,477,477,0,0.0,1.0214395099540583,2.2465128495726434,0,653
0.5,distributed,B3_no_reservation,2,16,494,494,0,0.0,1.0150829562594268,2.227212801849775,0,663
0.5,distributed,B3_no_reservation,2,17,530,530,0,0.0,1.0105740181268883,2.213603445971643,0,662
0.5,distributed,B3_no_reservation,2,18,519,519,0,0.0,1.0247252747252746,2.2357947065068235,0,728
0.5,distributed,B3_no_reservation,3,19,481,481,0,0.0,1.0017921146953406,2.1918828298276116,0,558
0.5,distributed,B3_no_reservation,3,20,515,515,0,0.0,1.0097879282218598,2.1819533991650513,0,613
0.5,distributed,B3_no_reservation,3,21,515,515,0,0.0,1.009771986970684,2.2084511952306665,0,614
0.5,distributed,B3_no_reservation,3,22,496,496,0,0.0,1.0048780487804878,2.1980092444771797,0,615
0.5,distributed,B3_no_reservation,3,23,506,506,0,0.0,1.0016556291390728,2.2040367908085146,0,604
0.5,distributed,B3_no_reservation,3,24,494,494,0,0.0,1.0034423407917383,2.172741693116879,0,581
0.5,distributed,B3_no_reservation,4,25,488,488,0,0.0,1.0,2.1954036862721438,0,637
0.5,distributed,B3_no_reservation,4,26,489,489,0,0.0,1.0,2.194609462322279,0,707
0.5,distributed,B3_no_reservation,4,27,492,492,0,0.0,1.0,2.1975780999839993,0,697
0.5,distributed,B3_no_reservation,4,28,453,453,0,0.0,1.0,2.188292321884457,0,632
0.5,distributed,B3_no_reservation,4,29,553,553,0,0.0,1.0,2.2091192107453494,0,762
0.5,distributed,B3_no_reservation,4,30,493,493,0,0.0,1.0,2.18790957770603,0,678
0.7,concentrated,B3_no_reservation,0,1,677,677,0,0.0,1.3495145631067962,2.76215865066749,0,618
0.7,concentrated,B3_no_reservation,0,2,698,698,0,0.0,1.3771251931993818,2.7583270743866377,0,647
0.7,concentrated,B3_no_reservation,0,3,704,704,0,0.0,1.401854714064915,2.747153077313459,0,647
0.7,concentrated,B3_no_reservation,0,4,732,732,0,0.0,1.3935681470137826,2.7522784129398037,0,653
0.7,concentrated,B3_no_reservation,0,5,670,670,0,0.0,1.3973727422003284,2.7447896549010693,0,609
0.7,concentrated,B3_no_reservation,0,6,749,749,0,0.0,1.364963503649635,2.7657872228744997,0,685
0.7,concentrated,B3_no_reservation,1,7,660,660,0,0.0,1.3028720626631853,2.740247852478084,0,766
0.7,concentrated,B3_no_reservation,1,8,668,668,0,0.0,1.3067400275103163,2.704994502976247,0,727
0.7,concentrated,B3_no_reservation,1,9,696,696,0,0.0,1.3216520650813517,2.7466739911099363,0,799
0.7,concentrated,B3_no_reservation,1,10,727,727,0,0.0,1.345873786407767,2.746438733143005,0,824
0.7,concentrated,B3_no_reservation,1,11,714,714,0,0.0,1.3162393162393162,2.7660163382676273,0,819
0.7,concentrated,B3_no_reservation,1,12,654,654,0,0.0,1.3095238095238095,2.738026816095852,0,756
0.7,concentrated,B3_no_reservation,2,13,706,706,0,0.0,1.3646723646723646,2.7477320245282684,0,702
0.7,concentrated,B3_no_reservation,2,14,724,724,0,0.0,1.3502747252747254,2.7497554783445937,0,728
0.7,concentrated,B3_no_reservation,2,15,685,685,0,0.0,1.361671469740634,2.7455015731664787,0,694
0.7,concentrated,B3_no_reservation,2,16,679,679,0,0.0,1.3588235294117648,2.7508241304402636,0,680
0.7,concentrated,B3_no_reservation,2,17,744,744,0,0.0,1.3723252496433667,2.7441101284049676,0,701
0.7,concentrated,B3_no_reservation,2,18,706,706,0,0.0,1.3526244952893673,2.7752340444077817,0,743
0.7,concentrated,B3_no_reservation,3,19,653,653,0,0.0,1.4198606271777003,2.760929830604819,0,574
0.7,concentrated,B3_no_reservation,3,20,721,721,0,0.0,1.445880452342488,2.76085438055941,0,619
0.7,concentrated,B3_no_reservation,3,21,717,717,0,0.0,1.3738317757009346,2.763541018964764,0,642
0.7,concentrated,B3_no_reservation,3,22,688,688,0,0.0,1.3640776699029127,2.757658162672441,0,618
0.7,concentrated,B3_no_reservation,3,23,704,704,0,0.0,1.3338582677165354,2.7560157060839305,0,635
0.7,concentrated,B3_no_reservation,3,24,674,674,0,0.0,1.3908794788273615,2.766623152092011,0,614
0.7,concentrated,B3_no_reservation,4,25,688,688,0,0.0,1.3540802213001384,2.7609603812072283,0,723
0.7,concentrated,B3_no_reservation,4,26,688,688,0,0.0,1.36376604850214,2.7370273030153904,0,701
0.7,concentrated,B3_no_reservation,4,27,671,671,0,0.0,1.3437945791726105,2.759493121821917,0,701
0.7,concentrated,B3_no_reservation,4,28,645,645,0,0.0,1.362297496318115,2.74760916332335,0,679
0.7,concentrated,B3_no_reservation,4,29,745,745,0,0.0,1.3180661577608141,2.7749411236804993,0,786
0.7,concentrated,B3_no_reservation,4,30,693,693,0,0.0,1.3682678311499272,2.7575818712609625,0,687
0.7,distributed,B3_no_reservation,0,1,677,677,0,0.0,1.0095108695652173,2.233848049473991,0,736
0.7,distributed,B3_no_reservation,0,2,698,698,0,0.0,1.008495145631068,2.2367268568400145,0,824
0.7,distributed,B3_no_reservation,0,3,704,704,0,0.0,1.0036585365853659,2.2218456869110175,0,820
0.7,distributed,B3_no_reservation,0,4,732,732,0,0.0,1.0046511627906978,2.230095236435324,0,860
0.7,distributed,B3_no_reservation,0,5,670,670,0,0.0,1.0103626943005182,2.2379012011118,0,772
0.7,distributed,B3_no_reservation,0,6,749,749,0,0.0,1.0033632286995515,2.239709176568918,0,892
0.7,distributed,B3_no_reservation,1,7,660,660,0,0.0,1.0337078651685394,2.2622862151474306,0,890
0.7,distributed,B3_no_reservation,1,8,668,668,0,0.0,1.0364464692482915,2.28624696738309,0,878
0.7,distributed,B3_no_reservation,1,9,696,696,0,0.0,1.0320247933884297,2.2703453674391354,0,968
0.7,distributed,B3_no_reservation,1,10,727,727,0,0.0,1.041123370110331,2.290834317902792,0,997
0.7,distributed,B3_no_reservation,1,11,714,714,0,0.0,1.0393939393939393,2.267844984154108,0,990
0.7,distributed,B3_no_reservation,1,12,654,654,0,0.0,1.0446927374301676,2.2719754358382707,0,895
0.7,distributed,B3_no_reservation,2,13,706,706,0,0.0,1.0215982721382288,2.2421890095361867,0,926
0.7,distributed,B3_no_reservation,2,14,724,724,0,0.0,1.016243654822335,2.234922780356545,0,985
0.7,distributed,B3_no_reservation,2,15,685,685,0,0.0,1.0224971878515186,2.2527350546034732,0,889
0.7,distributed,B3_no_reservation,2,16,679,679,0,0.0,1.0199556541019956,2.234362106114836,0,902
0.7,distributed,B3_no_reservation,2,17,744,744,0,0.0,1.0175438596491229,2.2406774411137462,0,969
