layout_seed,rho,seed,t_r3b,t_conc,totalL_r3b,totalL_conc,block_r3b,block_conc
1,1.0,8,13.383126276883843,13.963664384143492,12.453435271059586,13.528302284823214,0.06736016750941126,0.02777684853756175
1,1.0,9,13.833569881274277,13.475729050618579,12.880722191304656,13.09499218436237,0.07466345676012942,0.028426644144644724
1,1.0,10,13.783220629216878,13.702536654917811,12.764989682742318,13.215878121896553,0.07380648029789362,0.026623602373022016
1,1.2,1,22.157017856800703,29.63328004653505,18.129273355097922,24.809304202164842,0.1793666570677467,0.1603703497334745
1,1.2,2,22.507813102375867,29.554760491303007,18.37961975607014,24.61428800763103,0.18402398623012714,0.15948529617896892
1,1.2,3,22.497288159211074,30.198210088714998,18.33371543435745,25.080671265334463,0.1825157221019777,0.1697659135296241
1,1.2,4,22.392492642106102,29.84995514914732,18.25311105274921,24.869724846891852,0.18018571814430878,0.16509539009724594
1,1.2,5,22.380850582373064,29.821063042011126,18.300028912401427,24.917508199969017,0.18422681459994272,0.162219374965183
1,1.2,6,22.439225247979387,30.38507604260172,18.295862321491487,25.24017532079786,0.1844862566354465,0.17356019013228197
1,1.2,7,21.995951798302187,29.627297416850055,18.078648243860115,24.837445810832968,0.18097180187495387,0.16300549176235646
1,1.2,8,22.072058744240607,30.252893654868206,18.074958996786965,25.270111158922923,0.18095008752512295,0.16701604041038332
1,1.2,9,22.298774414322573,30.071839184316836,18.288621093449294,25.198919859219185,0.18337221202873027,0.16569858567977724
1,1.2,10,22.37741406779162,30.600939127021096,18.278117029522612,25.290178590425796,0.18093018505278602,0.17082075340238748
2,0.6,1,2.205824237938061,0.3730336709659278,2.2074669403397316,0.3751060802490719,0.0006288377598579566,0.0
2,0.6,2,2.2432630898641683,0.34672075746495234,2.2387914531553865,0.3458931419832338,0.0005193745246795645,0.0
2,0.6,3,2.2153379096596355,0.4122862384056427,2.1897587903907025,0.411828142585192,0.0004307438759457637,0.0
2,0.6,4,2.212822907887152,0.3460671925257703,2.204030345559745,0.3458044378055192,0.0005946076518572198,0.0
2,0.6,5,2.2076382162970365,0.32297491001799883,2.205724804360582,0.3208326156395582,0.0005189605960633132,0.0
2,0.6,6,2.2274951958033804,0.3387584867349882,2.229121809795687,0.33795550365532007,0.0006105231998815955,0.0
2,0.6,7,2.266734939224525,0.32883658424127343,2.2826676357057534,0.3292384956220128,0.0005882893648313264,0.0
2,0.6,8,2.207121983698931,0.34416807412393713,2.1945202615300103,0.3436263280813347,0.00046541934282788794,0.0
2,0.6,9,2.200963301529513,0.35717346138013917,2.2089703694778158,0.3579045943219622,0.0004611099839533726,0.0
2,0.6,10,2.1629150839368294,0.3369752610814988,2.149936423276878,0.33552127523275826,0.0003539163639750396,0.0
2,0.8,1,6.15766615966301,2.3041732511370605,6.136852437913979,2.3203261692561967,0.010330891987696721,0.0002482073910645339
2,0.8,2,5.839785441813349,2.2065235214916443,5.764428168599977,2.2094707361089596,0.009701159678858162,0.00015255530129672007
2,0.8,3,6.065796065069308,2.1823615301311245,6.026391986160796,2.1769207472840826,0.01058179102000166,4.176876809979951e-05
2,0.8,4,6.062480845208977,2.278151629503043,5.997821892762319,2.2802082941685264,0.011202420944501513,2.775195304369545e-05
2,0.8,5,6.063827679931537,2.3008663240006935,6.016374368367928,2.28483997569272,0.010446396408878051,0.0001678110447635962
2,0.8,6,5.923930399162313,2.301048532325198,5.865972519908515,2.2941751768279244,0.009572236346712235,5.572039505760096e-05
2,0.8,7,5.880066529288226,2.11977750275384,5.844741519423652,2.1229866103621697,0.009676481581461024,9.706583837151256e-05
2,0.8,8,6.080510092122191,2.422827280865988,6.023970668915453,2.434067506414108,0.01080368906455863,4.147255208261332e-05
2,0.8,9,5.940239809949362,2.083198189301744,5.878060354606073,2.091138565756173,0.010295956648603584,0.00023517693605954127
2,0.8,10,5.957932718085247,2.277226536004934,5.868539976529538,2.2704298215217147,0.008834465598702787,0.0002786330263726159
2,1.0,1,13.49177049937843,14.17194554743977,12.627655498018896,13.786375589025734,0.07155773132221928,0.03028087896508949
2,1.0,2,13.301870880040498,14.511873500878265,12.405707346714792,14.037426698970377,0.06531667000824255,0.031723953754909925
