adapt_completed,adapt_energy,adapt_safety,adapt_tardy,axis,cost_usd,energy_wh,full_completed,full_energy,full_safety,full_tardy,label,n_stations,policy,rate,seed,tariff
777,8142.998060461735,,0,load,,,777,7463.930108872734,,0,nominal,,,0.8,8,
792,8214.873887630487,,0,load,,,791,8054.078057122645,,0,nominal,,,0.8,9,
839,8844.567501701526,,0,load,,,838,7976.503415865461,,0,nominal,,,0.8,10,
794,8253.578081596317,,0,load,,,795,7892.8988128236515,,0,nominal,,,0.8,11,
745,7727.2549282330065,,0,load,,,745,7278.410459462778,,0,nominal,,,0.8,12,
801,8396.57774600493,,0,load,,,800,7711.939841053388,,0,nominal,,,0.8,13,
825,8681.287453802048,,0,load,,,826,8335.769145459937,,0,nominal,,,0.8,14,
787,8454.791006334648,,0,load,,,787,7848.003261240926,,0,nominal,,,0.8,15,
774,7822.506597358185,,0,load,,,773,7445.90412274567,,0,nominal,,,0.8,16,
849,9054.242586087765,,0,load,,,849,8653.207440235505,,0,nominal,,,0.8,17,
811,8328.475456336851,,0,load,,,810,7988.741960260389,,0,nominal,,,0.8,18,
766,8236.867226601064,,0,load,,,766,7821.744605445715,,0,nominal,,,0.8,19,
811,8209.35562372248,,0,load,,,811,8144.525099299511,,0,nominal,,,0.8,20,
820,8627.244611152148,,0,load,,,820,8243.129825881415,,0,nominal,,,0.8,21,
778,8124.935445309935,,0,load,,,778,7643.940823577077,,0,nominal,,,0.8,22,
787,8187.0994315538055,,0,load,,,788,7890.056762973135,,0,nominal,,,0.8,23,
764,8325.936697633622,,0,load,,,764,7518.339495009718,,0,nominal,,,0.8,24,
780,8210.760327194863,,0,load,,,780,7820.602588978441,,0,nominal,,,0.8,25,
776,8173.428302178326,,0,load,,,777,7958.136625901028,,0,nominal,,,0.8,26,
788,8136.086793577527,,0,load,,,786,7811.750049935549,,0,nominal,,,0.8,27,
743,8044.02336436766,,0,load,,,743,7493.955003861026,,0,nominal,,,0.8,28,
864,8996.677516347158,,0,load,,,864,8777.153970937006,,0,nominal,,,0.8,29,
788,8202.389797588883,,0,load,,,788,8030.657119352291,,0,nominal,,,0.8,30,
1585,17445.980071124693,,10,load,,,1226,11799.528506572595,,623,saturated,,,1.6,1,
1606,17636.82816869611,,18,load,,,1468,14416.679240573327,,758,saturated,,,1.6,2,
1609,17704.17869167669,,8,load,,,1220,11879.138229522781,,767,saturated,,,1.6,3,
1607,17993.34167137184,,5,load,,,1118,10763.43531555493,,601,saturated,,,1.6,4,
1563,17649.666245320885,,56,load,,,1105,10825.758724232119,,533,saturated,,,1.6,5,
1651,18291.656921689708,,420,load,,,1185,11011.672952363364,,718,saturated,,,1.6,6,
1532,16774.986606782044,,7,load,,,1390,13387.440484348845,,516,saturated,,,1.6,7,
1542,16533.345316154955,,1,load,,,1378,13143.547990418512,,520,saturated,,,1.6,8,
1565,17740.926887353708,,12,load,,,1293,12447.614277757471,,647,saturated,,,1.6,9,
1586,17051.631557565972,,9,load,,,1193,11524.4641605037,,799,saturated,,,1.6,10,
1598,17580.173159391776,,8,load,,,1218,11804.467372584237,,755,saturated,,,1.6,11,
1553,16918.26486883732,,6,load,,,1180,11301.407342729985,,704,saturated,,,1.6,12,
1563,17320.643916835463,,14,load,,,1205,11335.432943281265,,595,saturated,,,1.6,13,
1591,17362.98869723788,,12,load,,,1275,12550.889323547879,,669,saturated,,,1.6,14,
1587,17456.186023972426,,7,load,,,1387,13679.666732891397,,337,saturated,,,1.6,15,
1542,16549.665414311443,,5,load,,,1301,12774.317434282284,,686,saturated,,,1.6,16,
1607,17601.491220518412,,237,load,,,1282,12394.588499818687,,719,saturated,,,1.6,17,
1557,17647.718311488996,,206,load,,,1366,13349.617625311079,,651,saturated,,,1.6,18,
1535,17131.376315106998,,92,load,,,1356,13465.163435288361,,628,saturated,,,1.6,19,
1595,17593.373541957135,,7,load,,,1184,11494.85525876996,,432,saturated,,,1.6,20,
1561,17170.294303779236,,5,load,,,1512,14717.385600804759,,388,saturated,,,1.6,21,
1624,17931.639305299148,,2,load,,,1157,11277.8567193806,,553,saturated,,,1.6,22,
1570,17565.870973011602,,12,load,,,1291,12456.282949181841,,174,saturated,,,1.6,23,
1572,17822.112828108508,,7,load,,,1226,12078.634473903137,,514,saturated,,,1.6,24,
1555,17001.87936191093,,17,load,,,1406,13917.107602096965,,796,saturated,,,1.6,25,
1564,17516.150971447987,,67,load,,,1077,10550.184045993512,,352,saturated,,,1.6,26,
1573,17625.990510376334,,7,load,,,1378,13695.667570092177,,660,saturated,,,1.6,27,
1508,16811.16797114051,,58,load,,,1228,12242.002430196006,,514,saturated,,,1.6,28,
1677,18961.900174317427,,8,load,,,1328,12882.517998224735,,887,saturated,,,1.6,29,
1514,16572.283433824476,,2,load,,,1296,12885.299920970647,,610,saturated,,,1.6,30,
,,,,tariff,1.1864925640401847,7696.430965816935,,,,,,,full,,1,flat
,,,,tariff,1.2296524293638518,7996.684694535291,,,,,,,full,,2,flat
,,,,tariff,1.2267085773844029,7967.29589842706,,,,,,,full,,3,flat
,,,,tariff,1.253605706628965,8192.570508950688,,,,,,,full,,4,flat
,,,,tariff,1.1784672124243465,7760.564298598776,,,,,,,full,,5,flat
,,,,tariff,1.3020228168522578,8412.895433112439,,,,,,,full,,6,flat
,,,,tariff,1.0934982424110844,7209.332848516656,,,,,,,full,,7,flat
,,,,tariff,1.1436388935282775,7463.930108872734,,,,,,,full,,8,flat
,,,,tariff,1.229156365468594,8054.078057122645,,,,,,,full,,9,flat
,,,,tariff,1.2286024783170209,7976.503415865461,,,,,,,full,,10,flat
,,,,tariff,1.1966245153424901,7892.8988128236515,,,,,,,full,,11,flat
,,,,tariff,1.1104643601638227,7278.410459462778,,,,,,,full,,12,flat
,,,,tariff,1.1842699308830802,7711.939841053388,,,,,,,full,,13,flat
