config,policy,layout_id,seed,n_uavs,n_stations,mission_rate,missions_total,missions_completed,unfinished_at_cap,miss_rate,makespan_min,mission_flight_energy_wh,station_trip_energy_wh,end_of_run_stored_charge_change_wh,mission_flight_energy_per_completed_wh,station_trip_energy_per_completed_wh,stored_charge_change_per_completed_wh,total_charge_energy_ticked_wh,safety_violations,charge_sessions
fleet_40,baseline_adaptive,3,21,40,10,0.8,804,804,0,0.0,1002.0,7018.578679736564,1879.2175776736049,-612.9671673427674,8.72957547230916,2.3373352956139364,-0.7623969743069247,8284.829090067149,0,613
fleet_40,baseline_adaptive,3,22,40,10,0.8,778,778,0,0.0,1000.0,7167.386420416605,1774.283051888461,-558.7915552237297,9.212578946550906,2.2805694754350396,-0.7182410735523518,8382.877917081109,0,613
fleet_40,baseline_adaptive,3,23,40,10,0.8,786,786,0,0.0,1002.0,7073.098646058692,1882.6831064254895,-552.6022096051398,8.998853239260422,2.3952711277677983,-0.7030562463169718,8403.179542878821,0,625
fleet_40,baseline_adaptive,3,24,40,10,0.8,762,762,0,0.0,1001.0,6886.994763446771,1745.7675846462905,-608.6545030747362,9.038050870665053,2.2910335756513,-0.798759190386793,8024.107845018087,0,581
fleet_40,baseline_adaptive,4,25,40,10,0.8,798,798,0,0.0,1000.0,6804.560369091459,2142.9081580368556,-679.9665730825325,8.527018006380274,2.685348568968491,-0.8520884374467825,8267.501954045534,0,625
fleet_40,baseline_adaptive,4,26,40,10,0.8,778,778,0,0.0,1001.0,6333.41406600037,1990.908099192462,-687.9098972031426,8.140635046272969,2.559007839579,-0.8842029527032681,7636.412267989481,0,593
fleet_40,baseline_adaptive,4,27,40,10,0.8,799,799,0,0.0,1001.0,6558.334654328585,2122.051272911197,-683.7079765342979,8.20817854108709,2.6558839460715857,-0.855704601419647,7996.677950705233,0,610
fleet_40,baseline_adaptive,4,28,40,10,0.8,750,750,0,0.0,1002.0,6267.088713220046,2065.1403423964075,-629.244170085142,8.356118284293395,2.7535204565285434,-0.8389922267801893,7702.9848855311,0,586
fleet_40,baseline_adaptive,4,29,40,10,0.8,838,838,0,0.0,1001.0,6920.451891479474,2042.1134189493532,-698.3049542071487,8.25829581322133,2.436889521419276,-0.8332994680276238,8264.260356221437,0,628
fleet_40,baseline_adaptive,4,30,40,10,0.8,751,751,0,0.0,996.0,6416.690152911617,2020.6052998858024,-558.9438477920633,8.544194611067399,2.6905529958532655,-0.7442661089108699,7878.351605005109,0,593
fleet_40,baseline_full,0,1,40,10,0.8,787,787,0,0.0,1001.0,7956.889456212449,320.94733129626223,-299.9436875794659,10.110405916407178,0.4078110944043993,-0.38112285588242173,7977.893099928938,0,119
fleet_40,baseline_full,0,2,40,10,0.8,819,819,0,0.0,1000.0,8197.347951604526,353.24472318744034,-238.2864831233939,10.008971857880985,0.431312238324103,-0.2909480868417508,8312.306191668253,0,122
fleet_40,baseline_full,0,3,40,10,0.8,810,810,0,0.0,1000.0,8177.476851717724,338.3523551688552,-288.62784660315117,10.095650434219412,0.41771895699858663,-0.3563306748187052,8227.201360283116,0,122
fleet_40,baseline_full,0,4,40,10,0.8,816,816,0,0.0,1002.0,8255.837447696102,373.125370709771,-372.5951722178612,10.117447852568752,0.45726148371295466,-0.4566117306591436,8256.36764618771,0,123
fleet_40,baseline_full,0,5,40,10,0.8,760,760,0,0.0,1001.0,7643.27995541374,334.11035209966036,-449.08147888943626,10.056947309754921,0.43961888434165836,-0.5908966827492582,7528.30882862371,0,112
fleet_40,baseline_full,0,6,40,10,0.8,849,849,0,0.0,1000.0,8605.066376681374,370.9809697731489,-326.6682658603708,10.13553165686852,0.436962272995464,-0.38476827545391146,8649.37908059391,0,125
fleet_40,baseline_full,1,7,40,10,0.8,735,735,0,0.0,1002.0,7376.734156447575,331.82812165376157,-422.5623868448712,10.036373001969489,0.4514668321819885,-0.5749148120338383,7285.999891256231,0,107
fleet_40,baseline_full,1,8,40,10,0.8,773,773,0,0.0,1000.0,7480.3964996259565,354.3452562399119,-414.4765717135965,9.677097670926205,0.45840266007750574,-0.5361922014406164,7420.265184152015,0,110
