rho,seed,L_r1,L_r3a,L_c_analytic
0.7,29,1.1536402360425135,0.5857922558319055,0.881429071574559
0.7,30,1.169350625152425,0.5755984293015617,0.881429071574559
0.75,1,1.3678986082353337,0.7024417191095035,1.3833495232787185
0.75,2,1.3999907028336611,0.7140578465641567,1.3833495232787185
0.75,3,1.380695783035398,0.6951691487832289,1.3833495232787185
0.75,4,1.3809220274702907,0.7087116274634451,1.3833495232787185
0.75,5,1.4129838591291919,0.7258096914686613,1.3833495232787185
0.75,6,1.3811861272928891,0.7109746852462387,1.3833495232787185
0.75,7,1.3840101389765453,0.7085668179916076,1.3833495232787185
0.75,8,1.3732516888171973,0.7190706117652803,1.3833495232787185
0.75,9,1.3784002499690353,0.7138954667217917,1.3833495232787185
0.75,10,1.3752198629244654,0.7051995180598266,1.3833495232787185
0.75,11,1.390682287736635,0.7186616097235456,1.3833495232787185
0.75,12,1.3880195884894477,0.688282243029016,1.3833495232787185
0.75,13,1.4073378416028315,0.7119793680701353,1.3833495232787185
0.75,14,1.383067083780685,0.7026665422000555,1.3833495232787185
0.75,15,1.3684770488066778,0.7127611484731446,1.3833495232787185
0.75,16,1.3735994127665716,0.7370869159531853,1.3833495232787185
0.75,17,1.4056755990817993,0.7309340023954715,1.3833495232787185
0.75,18,1.3892320293838567,0.7000390223706889,1.3833495232787185
0.75,19,1.3750306936784455,0.7035131575505805,1.3833495232787185
0.75,20,1.3939753413274933,0.7369471620492729,1.3833495232787185
0.75,21,1.3960998569496637,0.7154506421813861,1.3833495232787185
0.75,22,1.400003654768796,0.7363398757893573,1.3833495232787185
0.75,23,1.4138184075912785,0.7166113125390855,1.3833495232787185
0.75,24,1.4127011561165976,0.7085957499738872,1.3833495232787185
0.75,25,1.3745269908412143,0.7181736909479788,1.3833495232787185
0.75,26,1.4011162616579762,0.7061435301912256,1.3833495232787185
0.75,27,1.3643268591716278,0.704771594303155,1.3833495232787185
0.75,28,1.3852902997029273,0.7135951244536486,1.3833495232787185
0.75,29,1.3886303711840118,0.7020244294113019,1.3833495232787185
0.75,30,1.4119328856725117,0.7039795153239279,1.3833495232787185
0.8,1,1.6308179713226647,0.9285497272254745,2.1984498247757425
0.8,2,1.6601486854587832,0.9179313412676589,2.1984498247757425
0.8,3,1.6289608903190427,0.9237428002289535,2.1984498247757425
0.8,4,1.635270481356447,0.906231872383831,2.1984498247757425
0.8,5,1.6190158068681217,0.9062287459962792,2.1984498247757425
0.8,6,1.6421498138775283,0.8941764881301977,2.1984498247757425
0.8,7,1.6370278351577,0.8945395193683885,2.1984498247757425
0.8,8,1.643238456777977,0.9106412062503428,2.1984498247757425
0.8,9,1.6378695578781275,0.9105573857460569,2.1984498247757425
0.8,10,1.6488170038746055,0.8887881107471756,2.1984498247757425
0.8,11,1.6092410159366608,0.9399333863162447,2.1984498247757425
0.8,12,1.6448816262408652,0.8803121995753586,2.1984498247757425
0.8,13,1.6477018960355316,0.907791118764071,2.1984498247757425
0.8,14,1.6318193500660307,0.9034366178016159,2.1984498247757425
0.8,15,1.6142074367972756,0.9001656135399283,2.1984498247757425
0.8,16,1.6263433183052107,0.9221150607028067,2.1984498247757425
0.8,17,1.6254053325628448,0.9088831081763397,2.1984498247757425
0.8,18,1.649105642432002,0.8807890229486383,2.1984498247757425
0.8,19,1.6013268177665705,0.8998100362610737,2.1984498247757425
0.8,20,1.6451049151270585,0.9148210751647671,2.1984498247757425
0.8,21,1.6393954341999162,0.9195199978394222,2.1984498247757425
0.8,22,1.6093064587004924,0.9362787468198297,2.1984498247757425
0.8,23,1.6313528950632943,0.9442245786117486,2.1984498247757425
0.8,24,1.659592294656671,0.913825592411629,2.1984498247757425
0.8,25,1.6259109354438332,0.895911047249372,2.1984498247757425
0.8,26,1.6467838254187317,0.9026530808019606,2.1984498247757425
0.8,27,1.6377444745609442,0.930215599487189,2.1984498247757425
0.8,28,1.6365026964026825,0.9366196513784226,2.1984498247757425
0.8,29,1.6387630700319729,0.8880989131983948,2.1984498247757425
0.8,30,1.638641761758733,0.8794085171474559,2.1984498247757425
