n,m,rho,seed,L_r1,L_r3a,L_c_analytic
10,9,0.85,9,2.4364297570548668,0.916218481217275,3.00246235338117
10,9,0.85,10,2.3933654588824185,0.8859761210078773,3.00246235338117
10,9,0.85,11,2.402966262185461,0.9070816153332858,3.00246235338117
10,9,0.85,12,2.4288039061735183,0.9122942020300749,3.00246235338117
10,9,0.85,13,2.4041061353715554,0.8892515964394374,3.00246235338117
10,9,0.85,14,2.3757348191042613,0.8966862576046758,3.00246235338117
10,9,0.85,15,2.403230691311775,0.8973666242302636,3.00246235338117
10,9,0.85,16,2.4128039949310294,0.9055729902355006,3.00246235338117
10,9,0.85,17,2.428245824863349,0.9081660279113251,3.00246235338117
10,9,0.85,18,2.4412683732060336,0.9074576187020307,3.00246235338117
10,9,0.85,19,2.4196048168813427,0.9110719586636271,3.00246235338117
10,9,0.85,20,2.4124693459730446,0.9048127621222453,3.00246235338117
10,9,0.85,21,2.3759606516736467,0.894237144343394,3.00246235338117
10,9,0.85,22,2.4148514276007056,0.9025546320503285,3.00246235338117
10,9,0.85,23,2.440337186358213,0.9113304692256643,3.00246235338117
10,9,0.85,24,2.3973094007303017,0.9149084284386662,3.00246235338117
10,9,0.85,25,2.393346947549662,0.9164161609804804,3.00246235338117
10,9,0.85,26,2.403701756616478,0.8918011504003367,3.00246235338117
10,9,0.85,27,2.405536007872073,0.8649716133816545,3.00246235338117
10,9,0.85,28,2.3889743185865475,0.8925324245363537,3.00246235338117
10,9,0.85,29,2.4042871869773688,0.9355001288630751,3.00246235338117
10,9,0.85,30,2.4012051753929415,0.8828528045458779,3.00246235338117
10,9,0.9,1,2.7962951785428793,1.2268446594864313,6.007539488941801
10,9,0.9,2,2.785922873151031,1.2029821569009242,6.007539488941801
10,9,0.9,3,2.7878837847802553,1.2073398637882315,6.007539488941801
10,9,0.9,4,2.7806983235843186,1.221111424955394,6.007539488941801
10,9,0.9,5,2.7885316884014566,1.2679488724216303,6.007539488941801
10,9,0.9,6,2.784571111402215,1.2487147429388001,6.007539488941801
10,9,0.9,7,2.7864734430141,1.257473191435428,6.007539488941801
10,9,0.9,8,2.767483872204221,1.2471585329304662,6.007539488941801
10,9,0.9,9,2.798937304850727,1.3049639756771958,6.007539488941801
10,9,0.9,10,2.8134063640637708,1.2697017509918038,6.007539488941801
10,9,0.9,11,2.8298521809300623,1.233072462677247,6.007539488941801
10,9,0.9,12,2.792568430430627,1.2111613033748179,6.007539488941801
10,9,0.9,13,2.814365931936912,1.2634358356798208,6.007539488941801
10,9,0.9,14,2.803323608760455,1.228589746508387,6.007539488941801
10,9,0.9,15,2.8138343864906643,1.254758150857195,6.007539488941801
10,9,0.9,16,2.794511259522293,1.2593704144729636,6.007539488941801
10,9,0.9,17,2.8070864197299588,1.226929619218109,6.007539488941801
10,9,0.9,18,2.7859518916196047,1.2432550728140348,6.007539488941801
10,9,0.9,19,2.8196085078219295,1.2636928414998931,6.007539488941801
10,9,0.9,20,2.8036409753388485,1.253996144732661,6.007539488941801
10,9,0.9,21,2.8023429241770024,1.2466550845836717,6.007539488941801
10,9,0.9,22,2.8125325868931967,1.2746611566201564,6.007539488941801
10,9,0.9,23,2.8000228914060488,1.27019262748493,6.007539488941801
10,9,0.9,24,2.806467150997081,1.2250357499080935,6.007539488941801
10,9,0.9,25,2.800440415973322,1.2025019937908983,6.007539488941801
10,9,0.9,26,2.786975975604911,1.1985260285740178,6.007539488941801
10,9,0.9,27,2.791860302187223,1.2468816443908128,6.007539488941801
10,9,0.9,28,2.783129161610442,1.2341682841795292,6.007539488941801
10,9,0.9,29,2.8322940659347284,1.2454515648185478,6.007539488941801
10,9,0.9,30,2.8288656540927577,1.226667803438961,6.007539488941801
