config,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,safety_violations,gate_binding_rate,mean_on_pad_queue_length,charge_sessions
density_scarce,B3_use_queue_term_False,3,21,820,805,15,0.37682926829268293,3.0954502688989756,1.135,1.3560297520074676,0.6044205168915079,0,0.08264462809917356,12.755947136563877,707
density_scarce,B3_use_queue_term_False,3,22,778,778,0,0.37532133676092544,2.8294028352658986,1.11,1.3431266658489964,0.37627616941690223,0,0.07692307692307693,12.36126126126126,710
density_scarce,B3_use_queue_term_False,3,23,788,788,0,0.36928934010152287,2.695326862897252,1.073,1.3500065030300994,0.2723203598671528,0,0.06948051948051948,11.80242311276794,752
density_scarce,B3_use_queue_term_False,3,24,766,766,0,0.4451697127937337,2.847742864509327,1.098,1.358802135099457,0.39094072940987,0,0.0690406976744186,10.512750455373407,670
density_scarce,B3_use_queue_term_False,4,25,782,536,246,0.45524296675191817,6.7296049054461955,1.135,1.287300445523845,4.30730445992235,0,0.06170598911070781,15.16387665198238,533
density_scarce,B3_use_queue_term_False,4,26,777,533,244,0.4697554697554698,6.799708253921594,1.135,1.2995382711048935,4.3651699828167,0,0.06129597197898424,15.12863436123348,553
density_scarce,B3_use_queue_term_False,4,27,789,528,261,0.4816223067173637,7.117030092824003,1.135,1.2717604168109318,4.710269676013072,0,0.045023696682464455,15.222026431718062,615
density_scarce,B3_use_queue_term_False,4,28,744,542,202,0.4932795698924731,5.986842077863923,1.135,1.2628940676356786,3.5889480102282443,0,0.05921052631578947,14.86079295154185,590
density_scarce,B3_use_queue_term_False,4,29,865,550,315,0.44046242774566474,7.367532061361111,1.135,1.2766986534972526,4.9558334078638575,0,0.04950495049504951,15.723348017621145,586
density_scarce,B3_use_queue_term_False,4,30,791,551,240,0.5145385587863464,6.848790317145392,1.135,1.2716468400249614,4.44214347712043,0,0.05499153976311337,15.656387665198238,571
density_scarce,use_reservation_False,0,1,785,785,0,0.0,2.5007928440440326,1.0,1.5007928440440323,0.0,0,0.048209366391184574,3.115,721
density_scarce,use_reservation_False,0,2,809,809,0,0.0,2.4839171016053494,1.04,1.4439171016053494,0.0,0,0.0541838134430727,9.875961538461539,710
density_scarce,use_reservation_False,0,3,808,808,0,0.0,2.4672882102370832,0.997,1.4702882102370833,0.0,0,0.04900662251655629,4.996,743
density_scarce,use_reservation_False,0,4,822,822,0,0.17518248175182483,2.5752069424812305,1.078,1.4177473917351613,0.07945955074606896,0,0.04881450488145049,9.412801484230055,699
density_scarce,use_reservation_False,0,5,760,760,0,0.0,2.441561354575338,1.0,1.4415613545753383,0.0,0,0.05413105413105413,4.851,691
density_scarce,use_reservation_False,0,6,861,861,0,0.11149825783972125,2.5342767634509276,1.089,1.4102512849288225,0.03502547852210536,0,0.05181347150259067,9.908172635445363,757
density_scarce,use_reservation_False,1,7,730,730,0,0.27534246575342464,2.702620371782259,1.087,1.3755941003209833,0.2400262714612756,0,0.16623711340206185,9.792088316467341,758
density_scarce,use_reservation_False,1,8,777,777,0,0.15958815958815958,2.598397981937883,1.105,1.3745889207530266,0.1188090611848563,0,0.1769964243146603,10.731221719457013,821
density_scarce,use_reservation_False,1,9,794,794,0,0.2304785894206549,2.689418100957536,1.104,1.3982094830187357,0.18720861793880034,0,0.17657550535077288,10.259057971014492,824
density_scarce,use_reservation_False,1,10,842,801,41,0.38836104513064135,3.1984062861880185,1.135,1.3672250962521726,0.6961811899358459,0,0.17135862913096694,12.011453744493393,798
density_scarce,use_reservation_False,1,11,796,795,1,0.5678391959798995,3.213952163438332,1.135,1.388489433489594,0.6904627299487383,0,0.18401486988847585,11.874889867841409,790
density_scarce,use_reservation_False,1,12,746,746,0,0.3190348525469169,2.662904021085897,1.08,1.365068212071553,0.21783580901434396,0,0.17870967741935484,10.09074074074074,756
density_scarce,use_reservation_False,2,13,802,802,0,0.0,2.4355378211734915,1.008,1.4275378211734915,0.0,0,0.03751465416178194,7.714285714285714,837
density_scarce,use_reservation_False,2,14,829,829,0,0.1519903498190591,2.5408938773856704,1.082,1.4198038922979168,0.039089985087753444,0,0.048478015783540024,8.864140480591498,869
density_scarce,use_reservation_False,2,15,788,788,0,0.0,2.469443500582382,1.001,1.468443500582382,0.0,0,0.0397196261682243,4.608391608391608,852
density_scarce,use_reservation_False,2,16,776,776,0,0.0,2.4643965372555847,1.002,1.4623965372555845,0.0,0,0.04221165279429251,7.941117764471058,832
density_scarce,use_reservation_False,2,17,850,850,0,0.19411764705882353,2.5517955544429465,1.076,1.411423576140842,0.0643719783021043,0,0.047766749379652605,9.862453531598513,790
density_scarce,use_reservation_False,2,18,811,811,0,0.03329223181257707,2.536281457386343,1.069,1.46047157497865,0.006809882407692961,0,0.05126658624849216,11.442469597754911,813
density_scarce,use_reservation_False,3,19,768,768,0,0.14192708333333334,2.6191431270231846,1.122,1.3777478504937601,0.11939527652942482,0,0.07777777777777778,11.54812834224599,701
density_scarce,use_reservation_False,3,20,811,745,66,0.3933415536374846,3.515980295637762,1.135,1.371778302067378,1.0092019935703842,0,0.0787518573551263,11.559471365638766,654
density_scarce,use_reservation_False,3,21,820,805,15,0.44878048780487806,3.1654696130760005,1.135,1.3673620009997112,0.6631076120762892,0,0.08913649025069638,12.831718061674009,699
density_scarce,use_reservation_False,3,22,778,778,0,0.2493573264781491,2.741996453699736,1.104,1.3618166012157698,0.27617985248396615,0,0.075177304964539,11.357789855072463,688
density_scarce,use_reservation_False,3,23,788,788,0,0.2956852791878173,2.685326924305092,1.086,1.357601129986077,0.2417257943190147,0,0.06964520367936924,10.66206261510129,743
density_scarce,use_reservation_False,3,24,766,750,16,0.38511749347258484,2.9832870481988163,1.135,1.3554527381163815,0.4928343100824344,0,0.0907715582450832,10.651982378854626,642
density_scarce,use_reservation_False,4,25,782,475,307,0.3721227621483376,7.13633308911084,1.135,1.3665497789931147,4.634783310117726,0,0.0517578125,15.15330396475771,493
density_scarce,use_reservation_False,4,26,777,496,281,0.38738738738738737,6.7503886479894435,1.135,1.372685938699317,4.242702709290127,0,0.0546448087431694,15.084581497797357,531
density_scarce,use_reservation_False,4,27,789,514,275,0.40304182509505704,6.379686903621765,1.135,1.3459493629194992,3.8987375407022657,0,0.059674502712477394,14.874889867841409,533
density_scarce,use_reservation_False,4,28,744,514,230,0.44086021505376344,6.109210384344458,1.135,1.3282075175840176,3.6460028667604396,0,0.05663716814159292,14.656387665198238,545
density_scarce,use_reservation_False,4,29,865,499,366,0.376878612716763,7.634627001398207,1.135,1.3620870164488472,5.13753998494936,0,0.05648148148148148,15.79647577092511,521
density_scarce,use_reservation_False,4,30,791,478,313,0.4336283185840708,7.167127260070053,1.135,1.3311711860266515,4.700956074043401,0,0.0625,15.91453744493392,501
density_scarce,use_priority_False,0,1,785,785,0,0.0,2.5712488234816773,1.0,1.5712488234816775,0.0,0,0.04149659863945578,3.454,723
density_scarce,use_priority_False,0,2,809,809,0,0.0,2.587708365509471,1.001,1.5867083655094707,0.0,0,0.04929577464788732,4.7742257742257745,770
density_scarce,use_priority_False,0,3,808,808,0,0.0,2.545941707211962,1.008,1.5379417072119617,0.0,0,0.05295566502463054,7.999007936507937,798
density_scarce,use_priority_False,0,4,822,822,0,0.0,2.5511468479103394,1.005,1.5461468479103395,0.0,0,0.04533333333333334,6.390049751243781,733
density_scarce,use_priority_False,0,5,760,760,0,0.0,2.5808923377288355,1.001,1.5798923377288354,0.0,0,0.047156726768377254,2.873126873126873,717
density_scarce,use_priority_False,0,6,861,861,0,0.0,2.5442543112703913,1.019,1.5252543112703913,0.0,0,0.0534037558685446,6.889106967615309,836
density_scarce,use_priority_False,1,7,730,730,0,0.30547945205479454,2.7801229529419174,1.063,1.4637971414859994,0.25332581145591826,0,0.15294840294840295,9.536218250235184,797
density_scarce,use_priority_False,1,8,777,777,0,0.3539253539253539,2.7792125384020983,1.115,1.465575799103156,0.19863673929894238,0,0.1687116564417178,10.348878923766817,798
density_scarce,use_priority_False,1,9,794,791,3,0.49748110831234255,3.2571913063790947,1.135,1.454756687812894,0.6674346185662006,0,0.16974169741697417,11.552422907488987,794
density_scarce,use_priority_False,1,10,842,792,50,0.48812351543942994,3.5849736785575974,1.135,1.4298003030707,1.0201733754868973,0,0.1658322903629537,11.863436123348018,779
density_scarce,use_priority_False,1,11,796,788,8,0.5653266331658291,3.5353396251797857,1.135,1.4404097942056364,0.9599298309741491,0,0.1825876662636034,11.693392070484581,808
density_scarce,use_priority_False,1,12,746,746,0,0.39276139410187666,3.1048538588285046,1.119,1.445585515180903,0.5402683436476017,0,0.1599749058971142,10.159964253798034,782
density_scarce,use_priority_False,2,13,802,802,0,0.08104738154613467,2.5471170155468617,1.018,1.5172049241084893,0.011912091438371991,0,0.036931818181818184,7.918467583497053,866
density_scarce,use_priority_False,2,14,829,829,0,0.06634499396863691,2.617898922134123,1.058,1.5471524319689678,0.012746490165155713,0,0.041487068965517244,8.309073724007561,911
density_scarce,use_priority_False,2,15,788,788,0,0.0,2.56628267225548,1.001,1.56528267225548,0.0,0,0.03356481481481482,5.061938061938062,849
density_scarce,use_priority_False,2,16,776,776,0,0.0,2.5902929543818387,1.002,1.5882929543818387,0.0,0,0.038680318543799774,6.5728542914171655,867
density_scarce,use_priority_False,2,17,850,850,0,0.2223529411764706,2.6592653399102986,1.056,1.5362196351434871,0.06704570476681126,0,0.033936651583710405,9.226325757575758,868
density_scarce,use_priority_False,2,18,811,811,0,0.013563501849568433,2.582579082501382,1.022,1.560086551156739,0.0004925313446428726,0,0.04161979752530934,10.5146771037182,873
density_scarce,use_priority_False,3,19,768,768,0,0.0,2.477064819383047,1.007,1.4700648193830472,0.0,0,0.06796116504854369,5.551142005958292,806
density_scarce,use_priority_False,3,20,811,811,0,0.34278668310727495,2.7253108221694617,1.055,1.5110920463030273,0.15921877586643418,0,0.0696969696969697,9.876777251184834,808
density_scarce,use_priority_False,3,21,820,820,0,0.02195121951219512,2.5300412855253316,1.019,1.509275067603867,0.0017662179214645766,0,0.07126168224299065,9.182531894013739,842
density_scarce,use_priority_False,3,22,778,778,0,0.0,2.5014900009679506,1.0,1.5014900009679506,0.0,0,0.06563245823389022,7.958,821
density_scarce,use_priority_False,3,23,788,788,0,0.0,2.528151996530405,1.0,1.528151996530405,0.0,0,0.060324825986078884,6.755,857
density_scarce,use_priority_False,3,24,766,766,0,0.0,2.509501519467678,1.003,1.506501519467678,0.0,0,0.07317073170731707,8.108673978065802,764
density_scarce,use_priority_False,4,25,782,760,22,0.6112531969309463,3.792206597374001,1.135,1.466588681584479,1.190617915789522,0,0.04540420819490587,12.294273127753303,883
density_scarce,use_priority_False,4,26,777,759,18,0.525096525096525,3.760738296734392,1.135,1.5036576643882398,1.1220806323461523,0,0.049189189189189186,11.839647577092512,906
density_scarce,use_priority_False,4,27,789,758,31,0.5627376425855514,3.8152224291886414,1.135,1.4937237923057622,1.186498636882879,0,0.04580152671755725,12.345374449339207,898
density_scarce,use_priority_False,4,28,744,744,0,0.4529569892473118,3.169451885023739,1.129,1.4859194191653227,0.5545324658584166,0,0.04721030042918455,10.946855624446412,918
density_scarce,use_priority_False,4,29,865,763,102,0.6034682080924856,4.846611458653227,1.135,1.501095887216488,2.2105155714367384,0,0.05091649694501019,13.176211453744493,962
density_scarce,use_priority_False,4,30,791,774,17,0.6144121365360303,3.543070141780132,1.135,1.456109587799746,0.9519605539803858,0,0.052071668533034715,13.277533039647578,874
density_scarce,use_partial_False,0,1,785,785,0,0.0,2.0618384120523974,1.032,1.0298384120523971,0.0,0,0.04304635761589404,6.482558139534884,134
density_scarce,use_partial_False,0,2,809,809,0,0.3226205191594561,2.438571056801065,1.115,1.0331472481239448,0.29042380867712003,0,0.06521739130434782,10.992825112107623,143
density_scarce,use_partial_False,0,3,808,801,7,0.42945544554455445,2.8482116752644915,1.135,1.02674855536531,0.6864631198991816,0,0.0705521472392638,12.158590308370044,143
density_scarce,use_partial_False,0,4,822,822,0,0.34793187347931875,2.5239038396475877,1.11,1.0296248365414877,0.38427900310609964,0,0.037037037037037035,10.26936936936937,144
density_scarce,use_partial_False,0,5,760,760,0,0.0,2.060149941196673,1.021,1.0391499411966731,0.0,0,0.03691275167785235,9.041136141038198,130
density_scarce,use_partial_False,0,6,861,835,26,0.437862950058072,2.966357159796097,1.135,1.027978153854836,0.8033790059412609,0,0.06626506024096386,11.977092511013216,148
density_scarce,use_partial_False,1,7,730,730,0,0.13013698630136986,2.1245006056259004,1.043,1.035567761062404,0.04593284456349674,0,0.1404109589041096,8.838926174496644,129
density_scarce,use_partial_False,1,8,777,777,0,0.3539253539253539,2.3296819261358523,1.102,1.0510271476073056,0.17665477852854655,0,0.13870967741935483,10.48366606170599,137
density_scarce,use_partial_False,1,9,794,793,1,0.44962216624685136,2.754826568939431,1.135,1.0459396514668384,0.5738869174725927,0,0.15625,11.669603524229075,141
density_scarce,use_partial_False,1,10,842,781,61,0.517814726840855,3.338545630781466,1.135,1.049544141533284,1.1540014892481818,0,0.14634146341463414,12.241409691629956,145
density_scarce,use_partial_False,1,11,796,784,12,0.5628140703517588,3.301499559975203,1.135,1.06306880899936,1.103430750975843,0,0.125,12.116299559471365,145
density_scarce,use_partial_False,1,12,746,746,0,0.22788203753351208,2.172019586646854,1.053,1.0441295709758827,0.07489001567097134,0,0.1490066225165563,9.305792972459638,132
