config,policy,layout_id,seed,n_stations,mission_rate,missions_total,missions_completed,unfinished_at_cap,miss_rate,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,f12_makespan_capped_min,f12_tardiness_capped_min,makespan_min,total_tardiness_min,mean_charge_duration_min,total_charge_energy_wh,mission_flight_energy_wh,safety_violations,gate_binding_rate,mean_on_pad_queue_length,runtime_per_decision_us,charge_sessions
density_scarce,jsq,4,27,2,0.8,789,789,0,0.07731305449936629,2.068949293745242,1.077,0.9602975716901759,0.03165172205506616,1077.0,1123.794391565124,1077.0,1123.794391565124,32.33018867924528,7378.532764852096,7839.9918384534485,0,0.35080645161290325,9.668523676880223,29.25807183923861,106
density_scarce,jsq,4,28,2,0.8,744,744,0,0.0,1.9761841070373114,1.001,0.9751841070373116,0.0,1001.0,0.0,1001.0,0,32.31683168316832,7005.913540279252,7364.348396439833,0,0.29545454545454547,3.3836163836163835,37.723635746674105,101
density_scarce,jsq,4,29,2,0.8,865,865,0,0.09595375722543352,2.108592243484,1.085,0.9761306100719882,0.047461633412012136,1085.0,1847.4440805625723,1085.0,1847.4440805625723,32.495726495726494,8146.171570971461,8508.939738343066,0,0.3111111111111111,11.211981566820276,26.71037671259708,117
density_scarce,jsq,4,30,2,0.8,791,791,0,0.0,1.9747082643787663,1.002,0.9727082643787663,0.0,1002.0,0.0,1002.0,0,32.38392857142857,7760.810352947811,8104.396237584154,0,0.29435483870967744,6.039920159680639,31.13306968683197,112
density_scarce,ours,0,1,2,0.8,785,785,0,0.0,2.5639020353276747,1.001,1.5629020353276748,0.0,1001.0,0.0,1001.0,0,3.8687845303867405,10500.626344966666,6752.796681902479,0,0.040300546448087435,3.3216783216783217,1808.3860668610741,724
density_scarce,ours,0,2,2,0.8,809,809,0,0.0,2.594810012886655,1.0,1.5948100128866551,0.0,1000.0,0.0,1000.0,0,3.827900912646675,11060.136258919882,6947.621452955262,0,0.05,4.051,1617.7387188714092,767
density_scarce,ours,0,3,2,0.8,808,808,0,0.0,2.5514732036231376,0.999,1.5524732036231377,0.0,999.0,0.0,999.0,0,3.8741721854304636,11001.386782493655,7107.832901768365,0,0.04409857328145266,5.389,1506.2385199599973,755
density_scarce,ours,0,4,2,0.8,822,822,0,0.0,2.5467173014791937,1.001,1.5457173014791938,0.0,1001.0,0.0,1001.0,0,3.8945981554677207,11096.604290047537,7189.717645056139,0,0.041343669250646,6.21978021978022,1470.1563311747975,759
density_scarce,ours,0,5,2,0.8,760,760,0,0.0,2.585494886675333,1.0,1.5854948866753331,0.0,1000.0,0.0,1000.0,0,3.7258953168044076,10184.556193971222,6467.732113266948,0,0.042119565217391304,3.175,1717.1807074033575,726
density_scarce,ours,0,6,2,0.8,861,861,0,0.0,2.5490233593779816,1.02,1.5290233593779814,0.0,1020.0,0.0,1020.0,0,3.652542372881356,11393.842417092572,7469.152785477682,0,0.048693586698337295,6.536274509803921,1388.3978628521375,826
density_scarce,ours,1,7,2,0.8,730,730,0,0.30273972602739724,2.787302433742757,1.065,1.4666121022577938,0.2556903314849633,1065.0,8399.427389281043,1065.0,8399.427389281043,4.081841432225064,11710.487682986848,8058.181248639978,0,0.15894868585732166,10.310798122065728,862.8277837453836,782
density_scarce,ours,1,8,2,0.8,777,777,0,0.40797940797940796,2.9552039941867974,1.119,1.4586732560806452,0.3775307381061519,1119.0,13200.362257881601,1119.0,13200.362257881601,4.043786982248521,12244.325124439601,8466.794213702116,0,0.15295480880648898,10.629133154602323,835.9477411591915,845
density_scarce,ours,1,9,2,0.8,794,794,0,0.3350125944584383,2.8522709864471567,1.117,1.4583137598306217,0.2769572266165349,1117.0,9895.68170700879,1117.0,9895.68170700879,3.995169082125604,12033.825614736441,8390.069359462706,0,0.17455621301775148,10.88630259623993,847.2343184158603,828
density_scarce,ours,1,10,2,0.8,842,770,72,0.5225653206650831,3.866969098670128,1.135,1.4341111567241167,1.2978579419460112,1135.0,49175.83742033436,1126.0,40295.92369034438,4.4363867684478375,12389.824182474635,8810.023750797076,0,0.1718362282878412,11.951541850220265,764.4465262337216,786
density_scarce,ours,1,11,2,0.8,796,786,10,0.5590452261306532,3.6152083404957747,1.135,1.4734217440011668,1.0067865964946079,1135.0,36063.09588643685,1135.0,35109.33758895939,4.442355889724311,12613.349813889208,8686.762560394725,0,0.16605392156862744,11.713656387665198,740.9814955049203,798
density_scarce,ours,1,12,2,0.8,746,746,0,0.3552278820375335,2.8968440781175344,1.091,1.4541248300894656,0.3517192480280687,1091.0,11807.215156302267,1091.0,11807.215156302267,4.236292428198434,11734.745227314648,8169.082585691581,0,0.1532567049808429,9.61044912923923,1007.5920814080913,766
