n,m,rho,seed,L_r1,L_r3a,t_r1,t_r3a,block_r1,block_r3a,L_c_analytic,t_c_analytic
4,6,0.7,30,1.0122800679825859,0.35937934522913717,4.220684411466072,1.4462984788236901,0.036085392792491046,0.00026343519494204424,0.9948450591739566,0.9949471750515312
4,6,0.75,1,1.2162658151931633,0.4776622181748475,5.121404152414753,1.9095963438771801,0.05261991475027149,0.00019988303141124823,1.501041196658349,1.50164841930856
4,6,0.75,2,1.2149282141217688,0.5222628779895909,5.1256543278440025,2.0906620960916595,0.050118003295186356,0.0008961834435663658,1.501041196658349,1.50164841930856
4,6,0.75,3,1.2057291462116486,0.5094172578887933,5.092447515087783,2.0379405834263236,0.05043227665706052,0.0005405925783303835,1.501041196658349,1.50164841930856
4,6,0.75,4,1.193567946195284,0.5111297981644187,5.048507591264068,2.049664388040455,0.052190826886813466,0.0009125847665118488,1.501041196658349,1.50164841930856
4,6,0.75,5,1.2193027206042917,0.5025472911925449,5.127452756449982,2.0110680760033772,0.05151349514706534,0.0004296328120949044,1.501041196658349,1.50164841930856
4,6,0.75,6,1.2120252474787188,0.5083505424536809,5.095171689071343,2.0330847658729416,0.05102289602588825,0.0005701423134449923,1.501041196658349,1.50164841930856
4,6,0.75,7,1.186239057420454,0.5199729013309909,4.9956291832501245,2.0773235459079764,0.0495315187096009,0.0004290829461722842,1.501041196658349,1.50164841930856
4,6,0.75,8,1.2002757223220932,0.5227550486557075,5.066706159878456,2.0897953087674,0.049664569140360916,0.0005549718074321824,1.501041196658349,1.50164841930856
4,6,0.75,9,1.2079978234592388,0.5287855195835696,5.069636970020741,2.1126864609487988,0.05083070203913005,0.0005028841887294779,1.501041196658349,1.50164841930856
4,6,0.75,10,1.229719392877219,0.5147558249137749,5.187229616807191,2.060450233468305,0.05207777975238434,0.0005260350294875975,1.501041196658349,1.50164841930856
4,6,0.75,11,1.2213993266713243,0.49786815772489146,5.143581856204781,1.9927195500600878,0.05128926047870963,0.0005926628341136728,1.501041196658349,1.50164841930856
4,6,0.75,12,1.2065319300710162,0.4961320225644538,5.109983667219957,1.991606202987446,0.0526687323985525,0.00024525833878351864,1.501041196658349,1.50164841930856
4,6,0.75,13,1.21362413826759,0.5130354088094856,5.112847137175432,2.0544976774353767,0.0524452001626437,0.000911327129393634,1.501041196658349,1.50164841930856
4,6,0.75,14,1.2048741846647375,0.5021841414048047,5.069545604306336,2.016848779599405,0.05087202852028816,0.00023050383677354112,1.501041196658349,1.50164841930856
4,6,0.75,15,1.1808224323314733,0.48557042972333664,4.974999527062291,1.9406297187850976,0.04941256749540141,0.0002811732323082843,1.501041196658349,1.50164841930856
4,6,0.75,16,1.2116890362116892,0.5072965023013859,5.112507528120587,2.0237202616269814,0.050348020955462224,0.000361976242538857,1.501041196658349,1.50164841930856
4,6,0.75,17,1.200764460244129,0.52570142649881,5.055960678353029,2.097281734646336,0.05011851851851852,0.000561171371399458,1.501041196658349,1.50164841930856
