layout_seed,rho,seed,R3b_L,Concentrated_travel_L,R3b_block,Concentrated_block
1,1.2,1,3.6258546710195843,24.809304202164842,0.1793666570677467,0.1603703497334745
1,1.2,2,3.6759239512140285,24.61428800763103,0.18402398623012714,0.15948529617896892
1,1.2,3,3.6667430868714903,25.080671265334463,0.1825157221019777,0.1697659135296241
1,1.2,4,3.6506222105498423,24.869724846891852,0.18018571814430878,0.16509539009724594
1,1.2,5,3.6600057824802854,24.917508199969017,0.18422681459994272,0.162219374965183
1,1.2,6,3.6591724642982975,25.24017532079786,0.1844862566354465,0.17356019013228197
1,1.2,7,3.615729648772023,24.837445810832968,0.18097180187495387,0.16300549176235646
1,1.2,8,3.614991799357393,25.270111158922923,0.18095008752512295,0.16701604041038332
1,1.2,9,3.6577242186898586,25.198919859219185,0.18337221202873027,0.16569858567977724
1,1.2,10,3.6556234059045223,25.290178590425796,0.18093018505278602,0.17082075340238748
2,0.6,1,0.4414933880679463,0.3751060802490719,0.0006288377598579566,0.0
2,0.6,2,0.4477582906310773,0.3458931419832338,0.0005193745246795645,0.0
2,0.6,3,0.4379517580781405,0.411828142585192,0.0004307438759457637,0.0
2,0.6,4,0.44080606911194903,0.3458044378055192,0.0005946076518572198,0.0
2,0.6,5,0.4411449608721164,0.3208326156395582,0.0005189605960633132,0.0
2,0.6,6,0.44582436195913744,0.33795550365532007,0.0006105231998815955,0.0
2,0.6,7,0.4565335271411507,0.3292384956220128,0.0005882893648313264,0.0
2,0.6,8,0.43890405230600205,0.3436263280813347,0.00046541934282788794,0.0
2,0.6,9,0.44179407389556313,0.3579045943219622,0.0004611099839533726,0.0
2,0.6,10,0.42998728465537556,0.33552127523275826,0.0003539163639750396,0.0
2,0.8,1,1.2273704875827958,2.3203261692561967,0.010330891987696721,0.0002482073910645339
2,0.8,2,1.1528856337199955,2.2094707361089596,0.009701159678858162,0.00015255530129672007
2,0.8,3,1.2052783972321592,2.1769207472840826,0.01058179102000166,4.176876809979951e-05
2,0.8,4,1.199564378552464,2.2802082941685264,0.011202420944501513,2.775195304369545e-05
2,0.8,5,1.2032748736735857,2.28483997569272,0.010446396408878051,0.0001678110447635962
2,0.8,6,1.1731945039817029,2.2941751768279244,0.009572236346712235,5.572039505760096e-05
2,0.8,7,1.1689483038847304,2.1229866103621697,0.009676481581461024,9.706583837151256e-05
2,0.8,8,1.2047941337830905,2.434067506414108,0.01080368906455863,4.147255208261332e-05
2,0.8,9,1.1756120709212146,2.091138565756173,0.010295956648603584,0.00023517693605954127
2,0.8,10,1.1737079953059077,2.2704298215217147,0.008834465598702787,0.0002786330263726159
2,1.0,1,2.5255310996037794,13.786375589025734,0.07155773132221928,0.03028087896508949
2,1.0,2,2.4811414693429583,14.037426698970377,0.06531667000824255,0.031723953754909925
2,1.0,3,2.5391129884945327,13.512041478771069,0.0693897965988663,0.028490948362243647
2,1.0,4,2.497942401504558,14.179356856848019,0.06654626130193875,0.029086904775146548
2,1.0,5,2.476188819426219,13.562218776026214,0.06655472277205703,0.029044903777619386
2,1.0,6,2.482312477259351,14.141474144816971,0.06702284286606586,0.0329559998234697
2,1.0,7,2.583434925055485,13.491564696330247,0.07225373052144705,0.026180692435327786
2,1.0,8,2.52287457262144,14.159155705019291,0.07143412272813066,0.03149597582171838
2,1.0,9,2.521849869956861,13.998234262274188,0.06689742394994343,0.033545938072432745
2,1.0,10,2.5235836352487877,13.597242866942612,0.07019003561087629,0.027443869899044165
2,1.2,1,3.704021341013705,25.10136904516718,0.18320497903854321,0.16934167949628018
2,1.2,2,3.6783327154560106,25.063433842691374,0.18042056900512457,0.16575814884859272
2,1.2,3,3.643334684486974,25.291548978284915,0.1814723173091234,0.17644062459480986
2,1.2,4,3.649264597824126,25.167523362409533,0.18083868823399069,0.16843854746009787
2,1.2,5,3.623099320454751,24.9385691815326,0.1766777884141751,0.16364600091131423
2,1.2,6,3.6318473094469743,25.26242907065055,0.17511632235250327,0.16817169317793204
2,1.2,7,3.675783805832262,24.8550732562567,0.18417443647776746,0.16504809513689328
2,1.2,8,3.64793915457494,25.07242336647677,0.17896087235407312,0.1666296892044299
2,1.2,9,3.633549490079905,25.070555260318717,0.1810689333739421,0.16680893705463182
2,1.2,10,3.685836569850468,24.8164134371834,0.17853379216443313,0.1647662326800301
3,0.6,1,0.4420234327989542,0.34031324002118113,0.0005330000551379367,0.0
3,0.6,2,0.44690093966359257,0.318225662607631,0.0005927133304932486,0.0
3,0.6,3,0.45514342847086386,0.35172637338121693,0.0007031568039672847,0.0
3,0.6,4,0.4293413110868328,0.3548712740765208,0.0005968701620875534,0.0
3,0.6,5,0.45073681005990796,0.3383542598908078,0.0005930538567033619,0.0
3,0.6,6,0.4311815653433734,0.3407310696010717,0.00048427052096332583,0.0
3,0.6,7,0.4569386461981167,0.3429297716286846,0.0007518383364201492,0.0
3,0.6,8,0.4406308171493464,0.3513812555216571,0.00035245886434043814,0.0
3,0.6,9,0.4372516900461946,0.34129167430956076,0.0006673216304891839,0.0
3,0.6,10,0.4393321260680646,0.3638700451814195,0.0005240599674334163,0.0
3,0.8,1,1.183620201925483,1.9515242161831905,0.010006366429540232,2.7785881993359175e-05
3,0.8,2,1.1562424280343773,2.0901919093477486,0.009499798024822053,0.0
3,0.8,3,1.1712039019011309,2.330512343284173,0.01028657448706512,0.00022201870507590265
3,0.8,4,1.2004244886869224,2.409637364077149,0.010104650356920092,0.00030527148348064996
3,0.8,5,1.1863548453675175,2.0193356430997462,0.011874469889737066,6.972819947843307e-05
3,0.8,6,1.1582825042652365,2.109960537448266,0.0100897485924522,8.35421888053467e-05
3,0.8,7,1.166103895565568,2.316097791415589,0.010660477011174738,0.00027725407563491185
3,0.8,8,1.2127148210806162,2.2300051945773505,0.011523952964585263,5.5219636102598086e-05
3,0.8,9,1.2072750257112062,2.011523330294539,0.011113112641512048,0.000333273159012956
3,0.8,10,1.1700293671239437,2.2799234543486615,0.011031662122308163,4.187487786493956e-05
3,1.0,1,2.5038862500362504,13.541477206115033,0.06995125078761483,0.03003950824375924
3,1.0,2,2.494862006359811,13.999243518221022,0.06959018126383959,0.03064771284062298
3,1.0,3,2.479289669466422,14.15328716895575,0.06914632513722165,0.029001791058059206
3,1.0,4,2.482576482184951,14.020351381814317,0.0699388829407566,0.03122404916126889
3,1.0,5,2.5274895964322344,14.157734469659284,0.07053279370183511,0.031462376612669624
3,1.0,6,2.5742729709049663,14.299698212445929,0.07441372841141092,0.028286852589641434
3,1.0,7,2.5375132567682455,13.88459625053039,0.07304802568430808,0.03215829730628533
3,1.0,8,2.4643783102534025,14.336489651605097,0.06818586632230485,0.03043690613622236
3,1.0,9,2.500788982647806,13.543039143473862,0.0717444554049411,0.031226477750719503
3,1.0,10,2.470979667999271,13.015873366369306,0.07007045005414941,0.02645087534464594
3,1.2,1,3.6320020582503836,25.215761397010912,0.18017069385945467,0.1685642902580461
