n,m,rho,seed,t_r1,t_r3a,t_c_analytic
5,7,1.02,7,15.469787462200287,17.047562992511168,16.34203046744782
5,7,1.02,8,15.733675096066392,17.35318646819094,16.34203046744782
5,7,1.02,9,15.739637243616343,16.178071582967302,16.34203046744782
5,7,1.02,10,15.636736309762671,17.281455268555003,16.34203046744782
5,7,1.02,11,15.657671276737263,17.413120589307777,16.34203046744782
5,7,1.02,12,15.729570053658003,17.394260592670758,16.34203046744782
5,7,1.02,13,15.607794984010267,17.534804247518878,16.34203046744782
5,7,1.02,14,15.515178537898388,17.284285290720913,16.34203046744782
5,7,1.02,15,15.761124888131691,16.616747619565658,16.34203046744782
5,7,1.03,1,16.03837921654767,17.870283130291813,17.35281625535592
5,7,1.03,2,15.987640745783018,17.66655783873047,17.35281625535592
5,7,1.03,3,15.943054084526903,17.65598885105863,17.35281625535592
5,7,1.03,4,15.991349213955504,17.62666438077676,17.35281625535592
5,7,1.03,5,15.917298811065825,18.099914283072437,17.35281625535592
5,7,1.03,6,16.112639852891107,17.79104937229555,17.35281625535592
5,7,1.03,7,16.243347194996435,18.34298496402475,17.35281625535592
5,7,1.03,8,16.241995767072172,17.819653392362667,17.35281625535592
5,7,1.03,9,15.727586733289353,17.594664810495235,17.35281625535592
5,7,1.03,10,16.119971105555045,18.604899118034588,17.35281625535592
5,7,1.03,11,16.021833117027704,18.585975966661287,17.35281625535592
5,7,1.03,12,15.970722761077441,17.956915209983062,17.35281625535592
5,7,1.03,13,15.948528178868314,18.447899041996855,17.35281625535592
5,7,1.03,14,16.156235698338026,18.097177955274738,17.35281625535592
5,7,1.03,15,16.23259169999997,17.94165593322769,17.35281625535592
10,9,1.0001,1,40.291286166354006,40.15686214291276,38.790109182436424
10,9,1.0001,2,39.91145907298121,39.83945759909892,38.790109182436424
10,9,1.0001,3,39.53620694702616,35.98948448453655,38.790109182436424
10,9,1.0001,4,40.10761920087543,42.505976221123966,38.790109182436424
10,9,1.0001,5,40.07689012093847,40.08418941108992,38.790109182436424
10,9,1.0001,6,40.33153044768514,40.94367200966434,38.790109182436424
10,9,1.0001,7,39.70544214899525,35.93935114345387,38.790109182436424
10,9,1.0001,8,39.87937322649833,41.84483315704319,38.790109182436424
10,9,1.0001,9,40.08265613314216,41.85020832797253,38.790109182436424
10,9,1.0001,10,40.63456918845907,39.29384870100765,38.790109182436424
10,9,1.0001,11,39.88592659118579,43.515772923535636,38.790109182436424
10,9,1.0001,12,40.11466074862287,41.456821187526785,38.790109182436424
10,9,1.0001,13,39.72125493531402,40.711422712181914,38.790109182436424
10,9,1.0001,14,39.79181064774131,37.60774054578738,38.790109182436424
10,9,1.0001,15,40.15192812379648,43.16005670921234,38.790109182436424
10,9,1.001,1,40.60676947549722,41.32251244406228,39.34852687696999
10,9,1.001,2,40.264590408403365,40.28721030252722,39.34852687696999
10,9,1.001,3,40.17339514820913,39.28695165143752,39.34852687696999
10,9,1.001,4,40.53581570573593,40.19427360513054,39.34852687696999
10,9,1.001,5,39.922853655557745,39.47421582553361,39.34852687696999
10,9,1.001,6,39.849106612132076,41.86435939418459,39.34852687696999
10,9,1.001,7,40.42475210932878,38.91683224733815,39.34852687696999
10,9,1.001,8,40.07167019742653,41.27425537494228,39.34852687696999
10,9,1.001,9,40.31613731321763,40.011056651142844,39.34852687696999
10,9,1.001,10,40.327802931179164,41.71940488471214,39.34852687696999
10,9,1.001,11,40.20794389723887,43.48813294625845,39.34852687696999
10,9,1.001,12,40.40395570944465,39.226315769130835,39.34852687696999
